10000 10
7400 50 152
23406 3756 2083
28799 4240 169
35852 4056 1811
37977 8087 229
38807 2556 1483
44000 8810 53
52573 268 1825
54119 445 443
63919 5312 752
183 0 0 0
184 38807 667 6266
185 0 0 0
186 35852 631 187
187 35852 632 188
188 35852 633 189
189 35852 634 6990
190 52573 986 4008
191 52573 26 4818
192 38807 536 3990
193 38807 870 3440
194 52573 476 9938
195 23406 1392 196
196 23406 1393 177
197 52573 1337 2506
198 52573 274 6101
199 0 0 0
200 38807 181 3642
201 23406 1763 3687
202 38807 157 898
203 23406 1761 367
204 52573 1761 1429
205 0 0 0
206 23406 212 207
207 23406 213 208
208 23406 214 209
209 23406 215 1263
210 23406 130 211
211 23406 131 212
212 23406 132 213
213 23406 133 214
214 23406 134 8893
215 52573 1041 8930
216 38807 1093 6788
217 0 0 0
218 52573 1681 1904
219 23406 1598 6699
220 52573 908 9209
221 38807 616 2770
222 52573 666 8007
223 23406 1755 224
224 23406 1756 9777
225 52573 1424 9726
226 23406 1397 227
227 23406 1398 7406
228 52573 140 8694
229 38807 538 3167
230 52573 1602 58
231 0 0 0
232 38807 1092 216
233 0 0 0
234 7400 44 4017
235 0 0 0
236 52573 378 5126
237 0 0 0
238 52573 447 1856
239 38807 146 3712
240 52573 113 6261
241 23406 205 242
242 23406 206 243
243 23406 207 244
244 23406 208 1370
245 52573 859 8745
246 52573 1519 8730
247 23406 2041 4865
248 23406 847 249
249 23406 848 250
250 23406 849 251
251 23406 850 6216
252 52573 1619 437
253 52573 1596 3330
254 23406 1489 255
255 23406 1490 4450
256 52573 821 9346
257 23406 1900 521
258 52573 1306 6390
259 23406 347 260
260 23406 348 261
261 23406 349 5208
262 52573 886 6750
263 0 0 0
264 23406 244 265
265 23406 245 266
266 23406 246 267
267 23406 247 7341
268 52573 1 9206
269 38807 74 4251
270 23406 1650 7237
271 38807 569 9082
272 23406 857 273
273 23406 858 4552
274 52573 775 494
275 0 0 0
276 23406 877 277
277 23406 878 8756
278 52573 118 7967
279 0 0 0
280 52573 787 6965
281 35852 469 282
282 35852 470 283
283 35852 471 284
284 35852 472 285
285 35852 473 286
286 35852 474 287
287 35852 475 288
288 35852 476 289
289 35852 477 290
290 35852 478 291
291 35852 479 149
292 52573 181 9540
293 38807 1043 3040
294 38807 645 321
295 38807 361 6659
296 38807 1477 9098
297 0 0 0
298 38807 586 2018
299 7400 16 9240
300 35852 668 301
301 35852 669 302
302 35852 670 303
303 35852 671 304
304 35852 672 305
305 35852 673 306
306 35852 674 307
307 35852 675 308
308 35852 676 309
309 35852 677 310
310 35852 678 311
311 35852 679 9288
312 7400 128 2998
313 23406 1695 6856
314 23406 1443 315
315 23406 1444 4282
316 52573 1324 8068
317 0 0 0
318 52573 1391 7180
319 0 0 0
320 52573 312 7837
321 38807 646 7027
322 54119 296 323
323 54119 297 324
324 54119 298 325
325 54119 299 326
326 54119 300 327
327 54119 301 328
328 54119 302 329
329 54119 303 330
330 54119 304 331
331 54119 305 6117
332 52573 493 4327
333 23406 1164 334
334 23406 1165 6376
335 38807 293 3519
336 52573 1027 1312
337 52573 1428 4209
338 38807 299 8765
339 0 0 0
340 23406 288 341
341 23406 289 342
342 23406 290 6199
343 38807 1132 875
344 23406 1381 345
345 23406 1382 6630
346 52573 111 720
347 52573 23 3997
348 38807 1099 7829
349 0 0 0
350 52573 622 4000
351 23406 1698 352
352 23406 1699 4582
353 38807 1397 4264
354 23406 466 355
355 23406 467 1642
356 38807 345 6608
357 0 0 0
358 52573 1753 7199
359 23406 855 360
360 23406 856 272
361 52573 410 8437
362 38807 540 1313
363 0 0 0
364 52573 1048 9178
365 0 0 0
366 52573 684 8490
367 23406 1762 201
368 23406 647 369
369 23406 648 370
370 23406 649 371
371 23406 650 9073
372 52573 704 180
373 23406 1724 7163
374 52573 969 5038
375 38807 1471 9544
376 38807 1072 4181
377 0 0 0
378 38807 1246 524
379 23406 1457 5150
380 23406 554 381
381 23406 555 9428
382 52573 1494 390
383 23406 1159 384
384 23406 1160 1539
385 35852 829 386
386 35852 830 387
387 35852 831 388
388 35852 832 389
389 35852 833 6502
390 52573 1495 7451
391 0 0 0
392 7400 138 8440
393 44000 39 4916
394 52573 576 7424
395 38807 1070 9588
396 7400 14 4250
397 35852 1363 398
398 35852 1364 399
399 35852 1365 400
400 35852 1366 401
401 35852 1367 8828
402 52573 1660 2136
403 0 0 0
404 52573 627 6144
405 0 0 0
406 23406 969 407
407 23406 970 6983
408 38807 1297 8484
409 38807 377 586
410 7400 62 1952
411 0 0 0
412 23406 1244 413
413 23406 1245 2999
414 52573 1607 1174
415 0 0 0
416 38807 1416 6658
417 0 0 0
418 38807 1091 232
419 0 0 0
420 38807 816 4182
421 0 0 0
422 52573 70 4478
423 52573 203 6194
424 52573 37 8755
425 0 0 0
426 38807 496 2127
427 0 0 0
428 38807 114 7522
429 38807 387 7438
430 52573 1031 2757
431 23406 2040 247
432 52573 44 492
433 52573 869 4202
434 0 0 0
435 38807 750 8351
436 38807 1037 1112
437 52573 1620 4568
438 23406 1181 439
439 23406 1182 850
440 38807 915 3607
441 38807 792 1127
442 23406 1560 1481
443 38807 1009 6568
444 38807 148 3007
445 54119 1 446
446 54119 2 447
447 54119 3 448
448 54119 4 449
449 54119 5 450
450 54119 6 451
451 54119 7 452
452 54119 8 453
453 54119 9 454
454 54119 10 455
455 54119 11 456
456 54119 12 457
457 54119 13 9220
458 52573 1626 9552
459 52573 325 2278
460 7400 150 7337
461 0 0 0
462 35852 1208 463
463 35852 1209 464
464 35852 1210 465
465 35852 1211 466
466 35852 1212 467
467 35852 1213 468
468 35852 1214 469
469 35852 1215 470
470 35852 1216 471
471 35852 1217 3341
472 52573 1672 8809
473 28799 83 474
474 28799 84 475
475 28799 85 476
476 28799 86 477
477 28799 87 478
478 28799 88 479
479 28799 89 480
480 28799 90 481
481 28799 91 1407
482 35852 369 483
483 35852 370 484
484 35852 371 485
485 35852 372 486
486 35852 373 487
487 35852 374 488
488 35852 375 489
489 35852 376 490
490 35852 377 491
491 35852 378 792
492 52573 45 2126
493 38807 1122 4774
494 52573 776 8330
495 0 0 0
496 52573 175 3994
497 0 0 0
498 35852 1569 499
499 35852 1570 500
500 35852 1571 501
501 35852 1572 502
502 35852 1573 503
503 35852 1574 4704
504 52573 780 8374
505 23406 1835 7139
506 38807 116 4462
507 0 0 0
508 38807 840 1928
509 23406 1977 8360
510 23406 620 511
511 23406 621 512
512 23406 622 7486
513 38807 262 7529
514 52573 736 7461
515 0 0 0
516 38807 736 781
517 23406 953 518
518 23406 954 3204
519 38807 968 1388
520 52573 840 2590
521 23406 1901 8397
522 44000 32 7616
523 0 0 0
524 38807 1247 1298
525 23406 642 526
526 23406 643 527
527 23406 644 3148
528 52573 109 1548
529 0 0 0
530 38807 819 1272
531 38807 748 1027
532 0 0 0
533 52573 1532 6399
534 23406 1133 535
535 23406 1134 6562
536 52573 48 8692
537 7400 7 7977
538 38807 1405 9735
539 23406 1083 540
540 23406 1084 541
541 23406 1085 2295
542 52573 484 5156
543 23406 476 544
544 23406 477 545
545 23406 478 546
546 23406 479 547
547 23406 480 4069
548 52573 1171 6539
549 38807 400 6720
550 0 0 0
551 38807 1161 9200
552 0 0 0
553 52573 269 3621
554 0 0 0
555 38807 163 6300
556 52573 1438 3569
557 0 0 0
558 38807 1328 1043
559 23406 2068 4783
560 52573 396 2372
561 52573 1006 3338
562 0 0 0
563 52573 1414 6560
564 23406 1873 3549
565 52573 1156 8740
566 35852 165 567
567 35852 166 568
568 35852 167 569
569 35852 168 570
570 35852 169 571
571 35852 170 572
572 35852 171 573
573 35852 172 574
574 35852 173 575
575 35852 174 576
576 35852 175 2185
577 7400 75 7340
578 52573 1153 9038
579 38807 370 3508
580 23406 2044 5263
581 7400 118 7577
582 0 0 0
583 38807 28 3708
584 52573 948 6718
585 0 0 0
586 38807 378 4188
587 0 0 0
588 52573 61 5092
589 23406 1885 7155
590 38807 125 682
591 0 0 0
592 38807 1296 408
593 0 0 0
594 52573 591 1193
595 23406 1704 3463
596 52573 388 9670
597 23406 2037 6875
598 38807 630 3442
599 23406 1720 3995
600 38807 375 1060
601 38807 1368 4904
602 23406 1563 4348
603 38807 533 6759
604 38807 595 1706
605 38807 510 3547
606 52573 611 4952
607 23406 1732 4330
608 38807 343 6134
609 23406 2018 7699
610 52573 36 424
611 23406 80 612
612 23406 81 613
613 23406 82 614
614 23406 83 615
615 23406 84 2457
616 52573 237 7243
617 23406 1743 6440
618 7400 32 3130
619 52573 900 9686
620 38807 666 184
621 23406 1966 9760
622 52573 1309 7153
623 38807 876 4120
624 52573 134 782
625 52573 1779 8944
626 23406 992 627
627 23406 993 4546
628 38807 458 8656
629 0 0 0
630 52573 437 3008
631 0 0 0
632 52573 98 7054
633 0 0 0
634 52573 466 8606
635 44000 19 7256
636 52573 318 4949
637 0 0 0
638 38807 95 1165
639 0 0 0
640 52573 1688 6706
641 0 0 0
642 52573 1609 2071
643 38807 1146 6803
644 23406 898 645
645 23406 899 7932
646 52573 248 8012
647 52573 853 4773
648 23406 1075 649
649 23406 1076 2314
650 38807 94 638
651 0 0 0
652 52573 156 4671
653 38807 13 4
654 38807 964 785
655 23406 1114 656
656 23406 1115 3279
657 23406 513 658
658 23406 514 1146
659 52573 1799 3811
660 38807 474 9060
661 52573 1692 6762
662 38807 464 7860
663 0 0 0
664 35852 1621 665
665 35852 1622 666
666 35852 1623 667
667 35852 1624 668
668 35852 1625 669
669 35852 1626 670
670 35852 1627 671
671 35852 1628 9066
672 52573 92 6860
673 0 0 0
674 52573 146 4488
675 38807 155 6554
676 38807 1202 7568
677 38807 1304 887
678 52573 1169 4740
679 52573 1671 472
680 38807 738 6280
681 38807 1300 2138
682 38807 126 2230
683 0 0 0
684 38807 205 9321
685 7400 152 1
686 38807 1403 8871
687 0 0 0
688 52573 317 636
689 0 0 0
690 52573 528 7874
691 23406 2004 5231
692 52573 779 504
693 0 0 0
694 35852 131 695
695 35852 132 696
696 35852 133 697
697 35852 134 698
698 35852 135 699
699 35852 136 700
700 35852 137 701
701 35852 138 3927
702 52573 1097 2570
703 23406 1508 704
704 23406 1509 9878
705 38807 726 1977
706 23406 1541 707
707 23406 1542 6411
708 52573 1234 5278
709 23406 904 710
710 23406 905 9145
711 38807 758 1641
712 52573 1035 2568
713 38807 1344 2664
714 38807 829 769
715 0 0 0
716 52573 1816 6837
717 23406 671 718
718 23406 672 719
719 23406 673 2546
720 52573 112 240
721 38807 1440 8852
722 38807 291 6724
723 0 0 0
724 7400 145 4720
725 52573 1361 3882
726 38807 554 1406
727 0 0 0
728 23406 780 729
729 23406 781 7507
730 52573 928 3704
731 0 0 0
732 52573 871 3692
733 23406 1817 6437
734 52573 671 2779
735 0 0 0
736 38807 1206 6683
737 52573 372 9179
738 23406 896 739
739 23406 897 644
740 38807 1306 6140
741 23406 1777 9597
742 52573 578 6922
743 0 0 0
744 52573 315 7390
745 38807 1138 4284
746 38807 1193 9354
747 0 0 0
748 7400 110 3789
749 23406 739 750
750 23406 740 751
751 23406 741 1115
752 52573 272 5100
753 44000 15 3792
754 23406 1614 6138
755 38807 1135 6662
756 38807 655 4238
757 38807 1225 5257
758 52573 1781 9890
759 38807 1195 1905
760 23406 172 761
761 23406 173 762
762 23406 174 763
763 23406 175 1016
764 38807 494 6210
765 0 0 0
766 52573 635 7208
767 23406 1629 4315
768 52573 1336 197
769 38807 830 3905
770 38807 983 6827
771 0 0 0
772 28799 38 773
773 28799 39 774
774 28799 40 775
775 28799 41 776
776 28799 42 777
777 28799 43 9434
778 52573 1558 2524
779 0 0 0
780 38807 690 4758
781 38807 737 680
782 52573 135 8436
783 23406 1551 784
784 23406 1552 6721
785 38807 965 3139
786 23406 1534 6357
787 52573 348 9322
788 38807 356 6368
789 0 0 0
790 52573 1231 1500
791 23406 1890 4273
792 35852 379 793
793 35852 380 794
794 35852 381 795
795 35852 382 796
796 35852 383 797
797 35852 384 798
798 35852 385 799
799 35852 386 800
800 35852 387 801
801 35852 388 2141
802 7400 6 537
803 38807 950 8416
804 52573 1647 7450
805 38807 644 294
806 35852 298 807
807 35852 299 808
808 35852 300 809
809 35852 301 810
810 35852 302 811
811 35852 303 812
812 35852 304 813
813 35852 305 1796
814 52573 1586 162
815 52573 311 320
816 23406 1772 984
817 52573 1405 158
818 38807 1239 1910
819 38807 1468 9092
820 38807 1256 5108
821 0 0 0
822 52573 941 6290
823 52573 633 1306
824 35852 1773 825
825 35852 1774 826
826 35852 1775 827
827 35852 1776 828
828 35852 1777 3088
829 52573 271 752
830 52573 382 8804
831 23406 1803 3625
832 52573 152 1448
833 0 0 0
834 38807 688 4957
835 0 0 0
836 38807 211 112
837 0 0 0
838 38807 1442 8352
839 23406 2052 9149
840 52573 1085 5204
841 38807 1253 9586
842 0 0 0
843 38807 828 714
844 52573 1089 9529
845 38807 1101 9747
846 38807 1335 80
847 0 0 0
848 7400 54 6761
849 52573 1567 8047
850 23406 1183 851
851 23406 1184 852
852 23406 1185 3985
853 52573 1273 8320
854 52573 161 3912
855 23406 1889 791
856 52573 1228 8785
857 23406 1005 858
858 23406 1006 859
859 23406 1007 3393
860 38807 628 8913
861 52573 241 8031
862 52573 1223 3896
863 23406 52 864
864 23406 53 865
865 23406 54 1088
866 52573 548 138
867 23406 1358 7903
868 52573 590 594
869 0 0 0
870 52573 845 7300
871 23406 2020 2601
872 38807 582 7
873 38807 1109 7129
874 38807 1042 293
875 38807 1133 130
876 52573 1726 2846
877 7400 87 5243
878 38807 134 5252
879 0 0 0
880 52573 72 9159
881 52573 888 7924
882 23406 505 883
883 23406 506 884
884 23406 507 885
885 23406 508 886
886 23406 509 7289
887 38807 1305 740
888 52573 616 8353
889 0 0 0
890 7400 56 6958
891 23406 1620 7263
892 38807 1376 8654
893 23406 1225 5098
894 38807 650 4631
895 0 0 0
896 52573 1637 1415
897 23406 1960 6511
898 38807 158 9353
899 23406 1868 3313
900 52573 786 280
901 38807 606 9121
902 52573 462 4144
903 38807 741 7470
904 52573 1132 7082
905 23406 1473 906
906 23406 1474 2737
907 35852 1686 908
908 35852 1687 909
909 35852 1688 910
910 35852 1689 911
911 35852 1690 2415
912 52573 278 6686
913 0 0 0
914 44000 2 3504
915 52573 953 9528
916 52573 1096 702
917 23406 1909 4630
918 38807 734 2282
919 23406 1649 270
920 38807 1116 9162
921 0 0 0
922 38807 399 549
923 23406 2070 7193
924 38807 372 6263
925 38807 1413 5244
926 52573 766 4138
927 35852 1036 928
928 35852 1037 929
929 35852 1038 930
930 35852 1039 931
931 35852 1040 932
932 35852 1041 933
933 35852 1042 2644
934 52573 997 9810
935 23406 1105 936
936 23406 1106 937
937 23406 1107 2257
938 52573 688 6410
939 38807 187 1648
940 38807 571 1761
941 0 0 0
942 52573 1590 2790
943 38807 1236 7795
944 52573 1396 1512
945 23406 1929 2529
946 38807 448 1480
947 35852 696 948
948 35852 697 949
949 35852 698 950
950 35852 699 951
951 35852 700 952
952 35852 701 953
953 35852 702 954
954 35852 703 955
955 35852 704 956
956 35852 705 957
957 35852 706 958
958 35852 707 959
959 35852 708 960
960 35852 709 961
961 35852 710 24
962 52573 294 9216
963 0 0 0
964 38807 855 3200
965 0 0 0
966 38807 1245 378
967 38807 1407 6306
968 23406 1827 2859
969 38807 1243 2667
970 23406 735 971
971 23406 736 972
972 23406 737 973
973 23406 738 749
974 52573 54 7552
975 0 0 0
976 23406 334 977
977 23406 335 978
978 23406 336 979
979 23406 337 1978
980 38807 309 4657
981 0 0 0
982 52573 1087 1544
983 38807 307 4037
984 23406 1773 3193
985 23406 115 986
986 23406 116 987
987 23406 117 6542
988 52573 1657 3306
989 0 0 0
990 35852 1306 991
991 35852 1307 992
992 35852 1308 993
993 35852 1309 994
994 35852 1310 995
995 35852 1311 996
996 35852 1312 997
997 35852 1313 998
998 35852 1314 999
999 35852 1315 1000
1000 35852 1316 1001
1001 35852 1317 3890
1002 52573 74 4542
1003 52573 1023 4186
1004 52573 757 9160
1005 52573 625 9034
1006 38807 1434 2658
1007 23406 1993 5181
1008 38807 1152 6930
1009 52573 802 2496
1010 23406 1974 2261
1011 38807 425 1506
1012 52573 1560 1698
1013 52573 1252 4346
1014 52573 1378 4677
1015 0 0 0
1016 23406 176 1017
1017 23406 177 1018
1018 23406 178 6419
1019 52573 1357 1955
1020 52573 1199 1158
1021 0 0 0
1022 38807 887 7258
1023 38807 1053 5214
1024 52573 1333 2154
1025 0 0 0
1026 38807 1036 436
1027 38807 749 435
1028 23406 241 1029
1029 23406 242 1030
1030 23406 243 264
1031 38807 1430 4672
1032 52573 399 3807
1033 0 0 0
1034 52573 158 2158
1035 0 0 0
1036 38807 1446 2226
1037 0 0 0
1038 44000 53 1
1039 0 0 0
1040 52573 751 8700
1041 38807 270 6247
1042 38807 522 7248
1043 38807 1329 1460
1044 52573 940 822
1045 38807 32 4724
1046 38807 468 9962
1047 0 0 0
1048 38807 1426 4924
1049 0 0 0
1050 52573 1430 8866
1051 23406 1931 8691
1052 38807 452 5114
1053 38807 592 6218
1054 52573 1299 4234
1055 38807 420 3920
1056 52573 101 8332
1057 23406 1432 8741
1058 52573 1100 6191
1059 0 0 0
1060 38807 376 409
1061 23406 1979 4224
1062 52573 1051 7069
1063 23406 980 1064
1064 23406 981 1065
1065 23406 982 1962
1066 38807 340 2940
1067 38807 471 1516
1068 0 0 0
1069 7400 127 312
1070 38807 296 2030
1071 0 0 0
1072 38807 45 2939
1073 38807 713 3220
1074 52573 82 3737
1075 52573 1344 2224
1076 38807 486 1738
1077 38807 995 9388
1078 38807 599 8718
1079 0 0 0
1080 38807 252 4623
1081 23406 1948 7579
1082 52573 415 3541
1083 23406 255 1084
1084 23406 256 1085
1085 23406 257 1086
1086 23406 258 3242
1087 52573 1039 2360
1088 23406 55 1089
1089 23406 56 2216
1090 52573 1510 3544
1091 0 0 0
1092 52573 1143 2891
1093 52573 266 8778
1094 52573 1492 2958
1095 23406 2030 53
1096 52573 1503 4660
1097 0 0 0
1098 38807 821 6921
1099 38807 786 6400
1100 52573 519 2065
1101 23406 1850 7497
1102 52573 518 1100
1103 0 0 0
1104 38807 221 4265
1105 0 0 0
1106 52573 1575 2807
1107 0 0 0
1108 52573 340 2980
1109 23406 148 1110
1110 23406 149 1111
1111 23406 150 9107
1112 38807 1038 9996
1113 0 0 0
1114 52573 1208 4467
1115 23406 742 1116
1116 23406 743 7890
1117 52573 1343 1075
1118 52573 696 7075
1119 35852 1639 1120
1120 35852 1640 1121
1121 35852 1641 1122
1122 35852 1642 1123
1123 35852 1643 3615
1124 52573 1284 7988
1125 23406 1462 1126
1126 23406 1463 3228
1127 38807 793 2917
1128 35852 1601 1129
1129 35852 1602 1130
1130 35852 1603 1131
1131 35852 1604 1132
1132 35852 1605 1133
1133 35852 1606 8324
1134 54119 84 1135
1135 54119 85 1136
1136 54119 86 1137
1137 54119 87 1138
1138 54119 88 1139
1139 54119 89 1140
1140 54119 90 1141
1141 54119 91 1142
1142 54119 92 1143
1143 54119 93 1569
1144 52573 552 7632
1145 0 0 0
1146 23406 515 1147
1147 23406 516 1622
1148 52573 427 9549
1149 23406 1611 33
1150 52573 409 361
1151 38807 295 1070
1152 52573 714 1326
1153 23406 601 1154
1154 23406 602 1155
1155 23406 603 6500
1156 52573 449 8746
1157 52573 392 4956
1158 52573 1200 9399
1159 23406 1816 733
1160 38807 609 6981
1161 0 0 0
1162 52573 1084 840
1163 0 0 0
1164 52573 1258 6668
1165 38807 96 3171
1166 38807 393 9495
1167 0 0 0
1168 7400 12 6136
1169 0 0 0
1170 38807 8 5006
1171 23406 1702 4905
1172 38807 330 6667
1173 23406 1935 3901
1174 52573 1608 642
1175 0 0 0
1176 52573 1110 8034
1177 38807 1011 2545
1178 38807 865 8066
1179 0 0 0
1180 44000 43 5137
1181 0 0 0
1182 52573 581 2511
1183 0 0 0
1184 38807 1028 3001
1185 23406 2047 8059
1186 23406 307 1187
1187 23406 308 1188
1188 23406 309 1189
1189 23406 310 7448
1190 38807 454 2179
1191 0 0 0
1192 23406 1617 3371
1193 52573 592 9770
1194 23406 526 1195
1195 23406 527 1196
1196 23406 528 1540
1197 52573 1646 804
1198 23406 1718 5251
1199 35852 590 1200
1200 35852 591 1201
1201 35852 592 1202
1202 35852 593 1203
1203 35852 594 1204
1204 35852 595 1205
1205 35852 596 3668
1206 52573 1625 458
1207 0 0 0
1208 38807 1293 8697
1209 38807 1150 5031
1210 54119 326 1211
1211 54119 327 1212
1212 54119 328 1213
1213 54119 329 1214
1214 54119 330 1215
1215 54119 331 1216
1216 54119 332 1217
1217 54119 333 7220
1218 52573 961 4324
1219 38807 1385 1630
1220 23406 1871 4927
1221 38807 1325 9733
1222 35852 1480 1223
1223 35852 1481 1224
1224 35852 1482 1225
1225 35852 1483 1226
1226 35852 1484 1227
1227 35852 1485 8938
1228 52573 1283 1124
1229 0 0 0
1230 54119 61 1231
1231 54119 62 1232
1232 54119 63 1233
1233 54119 64 1234
1234 54119 65 1235
1235 54119 66 1236
1236 54119 67 1237
1237 54119 68 1238
1238 54119 69 1239
1239 54119 70 1240
1240 54119 71 1241
1241 54119 72 6806
1242 52573 1788 4596
1243 23406 1983 2945
1244 52573 117 278
1245 23406 1623 3921
1246 23406 1270 1247
1247 23406 1271 2219
1248 52573 850 2995
1249 0 0 0
1250 23406 61 1251
1251 23406 62 1252
1252 23406 63 1253
1253 23406 64 3179
1254 52573 183 6654
1255 23406 1875 1256
1256 23406 1876 2809
1257 52573 1701 2822
1258 52573 855 9344
1259 0 0 0
1260 52573 329 6378
1261 0 0 0
1262 52573 1056 7869
1263 23406 216 1264
1264 23406 217 9458
1265 52573 1002 4375
1266 52573 1767 9093
1267 38807 844 8319
1268 52573 33 2076
1269 38807 500 9906
1270 38807 233 3880
1271 38807 80 3142
1272 38807 820 1098
1273 38807 441 9176
1274 0 0 0
1275 52573 309 7604
1276 38807 1171 5298
1277 23406 1385 1278
1278 23406 1386 1279
1279 23406 1387 4319
1280 35852 240 1281
1281 35852 241 1282
1282 35852 242 1283
1283 35852 243 1284
1284 35852 244 1285
1285 35852 245 1286
1286 35852 246 1287
1287 35852 247 1288
1288 35852 248 1289
1289 35852 249 1290
1290 35852 250 1291
1291 35852 251 1396
1292 52573 665 222
1293 52573 1745 6564
1294 52573 371 737
1295 0 0 0
1296 7400 102 6644
1297 0 0 0
1298 38807 1248 6749
1299 7400 58 4009
1300 23406 1750 7797
1301 52573 469 2752
1302 38807 857 3613
1303 23406 682 1304
1304 23406 683 1305
1305 23406 684 6712
1306 52573 634 766
1307 0 0 0
1308 38807 1238 818
1309 38807 434 3413
1310 52573 1076 8009
1311 0 0 0
1312 52573 1028 7304
1313 38807 541 2412
1314 0 0 0
1315 38807 598 1078
1316 35852 735 1317
1317 35852 736 1318
1318 35852 737 1319
1319 35852 738 1320
1320 35852 739 1321
1321 35852 740 1322
1322 35852 741 1323
1323 35852 742 1324
1324 35852 743 1325
1325 35852 744 7557
1326 52573 715 6878
1327 0 0 0
1328 52573 1139 5067
1329 0 0 0
1330 23406 1101 1331
1331 23406 1102 9442
1332 52573 915 1404
1333 23406 1822 8950
1334 23406 839 1335
1335 23406 840 4736
1336 52573 1639 8333
1337 35852 1264 1338
1338 35852 1265 1339
1339 35852 1266 1340
1340 35852 1267 1341
1341 35852 1268 1342
1342 35852 1269 1343
1343 35852 1270 1344
1344 35852 1271 1345
1345 35852 1272 1346
1346 35852 1273 1347
1347 35852 1274 1348
1348 35852 1275 1349
1349 35852 1276 7758
1350 52573 979 9347
1351 0 0 0
1352 38807 926 7771
1353 23406 1276 1354
1354 23406 1277 9241
1355 52573 1043 6166
1356 35852 1190 1357
1357 35852 1191 1358
1358 35852 1192 1359
1359 35852 1193 1360
1360 35852 1194 1361
1361 35852 1195 1362
1362 35852 1196 1363
1363 35852 1197 1364
1364 35852 1198 1365
1365 35852 1199 8634
1366 52573 1785 3256
1367 0 0 0
1368 52573 68 8616
1369 23406 1689 3605
