50000 1000
19626 4682 80
19627 2981 4
19651 45039 16
19702 42616 72
19757 4508 24
19798 12390 41
19877 43757 89
19970 24729 41
19972 12628 13
19984 32445 36
20006 39622 53
20097 2172 1
20377 986 90
20397 21099 1
20626 28605 90
20632 44304 43
20786 32200 31
20817 18852 41
20830 47211 54
20870 7458 49
20987 4931 48
21001 32239 59
21028 20217 2
21043 38144 14
21098 2313 94
21194 24857 31
21316 4809 73
21362 49796 15
21378 38760 89
21658 3423 25
21679 47560 25
21686 5386 88
21727 8606 48
21745 44634 9
21755 48098 35
21785 46819 53
21838 10828 45
21873 32194 16
21908 41011 76
21988 22922 33
22128 7558 58
22223 35919 74
22253 8642 31
22314 13050 7
22372 20340 15
22409 126 87
22452 28772 1
22516 9822 45
22680 13376 63
22823 8970 9
22927 18664 91
22982 17802 23
23132 13409 15
23210 37190 61
23273 46767 71
23354 9990 32
23442 35477 73
23469 25534 73
23472 38086 87
23510 16230 27
23714 49448 31
23782 30169 26
23932 8160 78
23959 27869 35
23984 46715 63
24034 17369 16
24063 49615 39
24065 48279 28
24083 32900 6
24235 35170 35
24481 10916 50
24547 4840 87
24731 48546 79
24767 43090 75
24828 6729 21
24852 23283 45
24986 42410 44
25003 13491 8
25008 37908 44
25057 32277 73
25251 19418 44
25338 36256 75
25393 704 84
25441 12898 31
25637 31140 88
25711 41924 45
25824 40498 13
25842 1751 40
25865 14749 44
25898 21352 19
26169 42111 3
26286 24446 93
26292 46668 5
26340 22612 35
26378 24150 63
26438 5078 11
26513 41213 41
26523 33151 28
26559 46472 57
26767 11511 73
26809 48124 61
26824 34800 42
26960 25920 91
27004 8304 69
27159 40495 31
27165 48062 35
27437 41355 1
27465 1111 55
27502 40966 6
27551 38655 53
27639 16144 88
27805 1984 66
27842 46043 49
27938 14114 55
27968 35298 74
28033 42607 20
28087 10854 87
28237 6375 52
28281 20816 35
28285 12075 92
28306 8906 13
28321 6232 63
28578 30143 46
28590 4428 45
28621 16709 57
28702 27519 87
28751 41288 26
28780 18885 3
28837 28652 47
28860 29251 75
28971 37054 94
28986 57 33
28993 15170 23
29001 30642 80
29096 28878 73
29152 16104 63
29170 48926 50
29200 32018 3
29220 9200 69
29284 38353 4
29292 20525 93
29295 18452 55
29386 1901 12
29420 11363 29
29443 34550 74
29482 41402 68
29504 49427 75
29542 4055 63
29687 8156 47
29693 24633 59
29768 23616 93
29876 45383 26
29915 37336 65
29923 783 17
30130 37258 91
30213 16098 35
30225 25676 24
30256 35966 54
30312 41080 8
30370 11934 92
30492 1444 59
30698 2466 64
30699 829 69
30757 6636 11
30764 1784 68
30771 45642 82
30882 37414 87
31001 32590 7
31093 24828 64
31253 38152 63
31320 14969 87
31387 33547 79
31445 27884 9
31452 5062 48
31500 4228 81
31509 14047 71
31692 1726 64
31777 34457 91
31800 40890 25
31880 17904 8
31921 44272 32
31936 3770 47
31963 12397 65
31999 11094 23
32065 46230 57
32093 12136 91
32116 31942 93
32134 36236 9
32136 49947 30
32167 19594 76
32328 28299 47
32332 9617 81
32382 3634 71
32402 45691 70
32485 21431 1
32497 38048 2
32614 32693 97
32737 44640 27
32776 10818 47
32779 29322 60
32799 34432 35
32828 16447 25
32893 11754 47
32931 45464 36
33113 18805 33
33120 37162 45
33196 39667 10
33210 16221 14
33297 25992 37
33401 42741 15
33406 28964 1
33428 8288 48
33583 32868 31
33697 46947 84
33726 43955 17
33831 48516 80
33942 40834 21
34084 36015 33
34113 24732 18
34164 49534 63
34200 43257 22
34369 48956 22
34380 33527 56
34404 21940 91
34484 6030 81
34492 1646 23
34516 33200 77
34524 28843 49
34643 518 38
34659 25502 67
34673 9670 92
34739 42449 78
34774 6552 81
34832 2765 80
34983 39400 38
35070 26927 3
35218 29661 29
35230 20610 8
35288 6170 42
35321 32880 65
35374 13488 58
35414 25382 89
35445 19100 35
35510 49465 70
35620 8459 10
35728 21351 81
35780 45461 80
35817 45199 2
35819 17282 65
35958 14336 29
35978 3432 90
36016 49777 78
36182 6918 53
36265 3613 90
36432 22115 31
36437 8704 53
36479 34290 7
36564 26977 36
36629 25089 79
36790 16347 53
36838 130 27
37013 42713 25
37060 48942 2
37080 8051 24
37119 25148 7
37149 9768 91
37157 33037 82
37206 31172 14
37258 37123 13
37436 7185 71
37499 34681 10
37557 14269 96
37638 8954 61
37727 37496 81
37738 19795 2
37789 17685 53
37921 2969 80
37964 14886 14
37988 6401 54
38027 20032 64
38209 28258 12
38262 11042 12
38269 580 81
38335 29262 86
38490 11517 43
38585 7028 57
38620 31526 11
38826 27750 89
38839 18867 26
38885 30753 17
39087 5380 31
39131 31719 49
39199 49996 47
39288 48480 79
39315 19936 14
39453 12140 71
39532 31014 88
39579 25438 67
39593 39383 6
39595 22374 60
39642 25443 27
39643 44734 20
39678 4131 87
39790 37966 49
39878 21650 90
39903 32783 73
40186 40264 87
40192 27227 34
40217 39611 7
40306 24451 4
40445 8528 37
40599 46396 39
40625 32541 43
40668 30537 14
40697 21517 84
40787 36702 61
40850 2256 77
40900 38122 1
40954 13960 48
40978 38798 45
40992 11678 46
41032 4026 7
41041 10396 46
41061 18783 86
41167 9218 9
41241 4159 73
41242 6199 51
41289 3492 88
41364 35798 94
41485 9825 11
41507 19426 92
41575 30696 65
41626 17162 60
41682 39845 65
41992 37509 57
42030 12069 67
42043 44550 7
42195 14986 88
42236 8385 53
42263 12837 9
42341 33832 18
42356 46902 47
42483 14760 52
42579 27768 68
42643 45935 70
42679 37326 5
42723 38206 34
42991 24730 27
43014 23356 33
43056 38906 51
43059 9004 49
43197 40764 35
43298 10918 77
43399 24874 5
43439 49700 37
43503 23848 65
43554 6146 38
43635 30601 73
43652 47483 34
43662 34718 44
43824 29154 1
43871 2638 43
43886 42302 17
43917 18681 96
43952 24217 30
43994 21023 53
44092 47745 79
44149 39249 49
44201 15667 34
44394 13536 9
44418 8684 15
44582 31513 43
44817 25452 27
44920 49161 47
45054 12431 77
45222 47338 89
45228 21275 19
45282 21436 41
45366 11726 47
45387 19258 30
45389 23577 1
45415 34269 32
45510 18578 71
45581 14177 74
45739 4297 59
45768 33163 3
45828 47706 1
45962 49868 50
46011 2753 54
46066 10118 11
46085 21658 4
46129 18038 1
46419 29463 36
46453 2965 64
46471 19830 87
46483 24411 87
46496 29524 69
46509 45441 25
46552 35072 37
46606 28673 28
46653 12959 66
46751 35762 49
46807 30214 5
46814 9565 90
46854 14450 58
46874 29229 29
47070 5876 34
47191 46512 3
47346 6617 57
47558 22270 61
47573 35622 53
47590 18097 80
47734 31901 31
47789 19328 16
47814 21953 45
47861 23862 53
47918 24704 26
48071 11621 82
48144 20650 57
48167 36940 59
48210 15235 92
48230 34004 41
48358 35480 34
48442 36569 13
48544 12728 30
48590 22570 84
48594 4304 37
48634 48886 14
48707 37748 5
48709 5987 1
48769 48878 63
48803 20368 21
48844 19662 4
48845 953 94
48864 15766 67
48948 32839 39
48956 34258 32
49065 27236 15
49080 35206 47
49099 16210 23
49159 20012 84
49190 22275 88
49224 42192 34
49254 20098 93
49304 29983 88
49353 21221 91
49385 22742 42
49472 48667 96
49735 11065 67
49805 27443 7
49831 35668 94
50026 7226 57
50070 2875 74
50083 7118 68
50106 10484 11
50173 18894 58
50271 42226 84
50390 37068 80
50422 49410 82
50558 18172 52
50580 26273 69
50610 33710 7
50755 46912 10
50784 9883 42
50840 19190 81
50841 19838 88
50889 12384 17
50915 35433 83
50941 44107 65
50995 38785 1
51022 28166 17
51035 46318 77
51121 11399 58
51186 22850 59
51329 4234 56
51349 47986 23
51369 46842 81
51467 46412 49
51650 5622 23
51699 16735 3
51923 7510 81
52038 22264 21
52060 40123 17
52089 13785 14
52104 48099 17
52114 32321 81
52126 21273 52
52130 45510 25
52150 47506 83
52265 14934 3
52267 32860 22
52270 15556 49
52291 14276 53
52385 16121 71
52496 6568 83
52640 2379 96
52677 48012 61
52853 30799 73
52856 31167 39
52922 2986 89
52975 26712 58
52978 20944 71
53041 578 55
53160 47002 42
53190 45389 73
53223 28389 37
53276 37174 37
53347 18522 69
53351 7262 91
53364 3362 85
53379 850 39
53634 18295 29
53746 9669 55
53849 37446 16
53937 6828 86
53969 37730 18
53993 4395 19
54132 17645 40
54155 26159 41
54306 4838 18
54355 17950 19
54394 21082 75
54397 30197 25
54410 21121 19
54545 40126 14
54681 45000 62
54738 48054 12
54788 38963 20
54929 20138 57
55091 20404 54
55100 4387 13
55153 950 36
55255 31286 69
55305 22888 68
55358 20299 41
55844 44578 59
55865 29778 85
55905 18014 67
56007 18274 23
56029 30686 5
56096 39773 38
56147 35799 89
56217 45321 5
56470 38462 53
56498 18672 57
56616 3232 98
56728 27414 52
56801 35348 39
56939 30036 1
57049 34088 62
57066 7660 41
57069 32 7
57083 34361 7
57125 18231 32
57174 43398 60
57280 8446 27
57310 12922 6
57453 25495 11
57479 49890 11
57484 36486 55
57595 38129 79
57647 20912 38
57664 2315 18
57686 11158 21
57730 41621 28
57807 18956 31
57892 38638 55
57894 31710 42
57907 18290 62
57984 40334 49
58010 11668 5
58318 17013 3
58338 49769 52
58360 671 10
58362 45606 77
58375 7448 65
58647 32531 41
58688 48782 63
58697 49832 21
58876 20284 62
58937 43761 74
58947 35648 15
58986 1044 48
59112 17234 33
59130 34116 74
59170 22146 26
59199 35228 60
59239 18215 54
59253 6315 29
59258 2743 89
59268 49188 5
59359 27421 42
59515 21179 33
59556 33519 43
59696 29545 93
59763 26942 34
59789 43212 51
59915 48398 9
59972 27639 78
60048 10560 26
60051 21710 68
60133 29480 72
60219 5735 50
60250 955 25
60285 48593 17
60367 29312 5
60487 16057 73
60516 26622 87
60560 41524 33
60672 36766 45
60739 6267 45
60772 31702 13
60884 24842 52
60891 45975 31
61018 11374 47
61056 47615 54
61079 22328 79
61222 23907 7
61338 46573 81
61376 7597 27
61469 48329 47
61504 26984 65
61555 31604 11
61576 23770 87
61653 21942 11
61661 13226 45
61735 26474 83
61909 44950 74
61946 47874 41
61990 28930 73
62006 45043 67
62077 38208 83
62123 1129 12
62155 28337 73
62186 35874 62
62223 19362 13
62276 9467 87
62377 45849 33
62391 7374 63
62410 19652 76
62434 40079 31
62440 24646 90
62458 6997 71
62717 69 8
62847 24491 9
62933 49514 21
62989 45492 67
62996 46089 47
63088 44386 77
63215 40248 78
63470 6780 72
63521 15893 46
63523 8582 76
63530 1670 11
63582 36203 29
63798 47131 48
63806 46634 39
63823 28776 6
63858 27328 78
63889 26340 12
64007 5373 89
64158 42349 91
64259 15572 10
64279 6542 7
64383 33752 48
64393 20244 52
64443 12272 10
64543 7804 87
64589 39062 48
64699 12723 45
64800 34591 95
64803 28449 47
64892 33144 68
64961 22588 71
65003 47724 54
65043 31528 29
65103 27018 1
65175 13464 26
65179 45948 5
65245 29281 3
65324 26176 85
65447 48854 99
65484 9227 6
65507 25228 61
65519 46769 22
0 0 0 0
1 0 0 0
2 29542 58 29938
3 0 0 0
4 21838 43 18200
5 25393 63 12998
6 21755 8 32937
7 34774 74 28275
8 4132 17 22340
9 4739 4 1128
10 30225 14 11
11 30225 15 12
12 30225 16 388
13 575 9 19874
14 11219 31 15
15 11219 32 22443
16 26960 51 48439
17 50390 33 16335
18 398 67 1741
19 6044 60 21167
20 14181 50 41136
21 22223 25 33475
22 29542 19 20646
23 56096 7 12551
24 29420 27 11234
25 36265 22 44211
26 40192 32 19932
27 6320 18 28
28 6320 19 1
29 48844 4 1
30 39288 20 19853
31 43635 73 1
32 57069 1 33
33 57069 2 34
34 57069 3 35
35 57069 4 36
36 57069 5 37
37 57069 6 38
38 57069 7 1
39 48634 9 7618
40 47573 32 12026
41 37149 69 44539
42 40787 61 1
43 0 0 0
44 3789 20 28726
45 37149 56 24602
46 1580 7 21918
47 14366 34 24263
48 50915 13 46675
49 0 0 0
50 21362 13 34372
51 19551 33 33109
52 34673 45 25090
53 9535 36 49741
54 29001 59 27452
55 28285 24 40150
56 7089 34 17430
57 28986 1 11525
58 54681 23 59
59 54681 24 60
60 54681 25 61
61 54681 26 62
62 54681 27 63
63 54681 28 64
64 54681 29 65
65 54681 30 44914
66 21098 85 20834
67 0 0 0
68 15531 24 32676
69 62717 1 70
70 62717 2 71
71 62717 3 4403
72 23472 84 7521
73 0 0 0
74 62989 8 16456
75 14920 63 19539
76 49735 17 11912
77 56147 10 41971
78 17556 49 1
79 65447 84 80
80 65447 85 44998
81 52640 45 31120
82 2327 1 83
83 2327 2 84
84 2327 3 85
85 2327 4 86
86 2327 5 87
87 2327 6 88
88 2327 7 89
89 2327 8 90
90 2327 9 91
91 2327 10 92
92 2327 11 93
93 2327 12 94
94 2327 13 95
95 2327 14 96
96 2327 15 97
97 2327 16 98
98 2327 17 99
99 2327 18 100
100 2327 19 101
101 2327 20 102
102 2327 21 103
103 2327 22 104
104 2327 23 105
105 2327 24 106
106 2327 25 107
107 2327 26 108
108 2327 27 109
109 2327 28 110
110 2327 29 111
111 2327 30 112
112 2327 31 113
113 2327 32 114
114 2327 33 115
115 2327 34 116
116 2327 35 117
117 2327 36 118
118 2327 37 119
119 2327 38 40366
120 32167 21 12800
121 35510 40 12177
122 33428 8 1586
123 3790 26 35548
124 11611 44 8453
125 26767 69 48729
126 22409 1 21530
127 0 0 0
128 4174 79 36186
129 0 0 0
130 36838 1 19955
131 7184 25 27484
132 52978 12 46817
133 53190 13 5483
134 22927 69 38061
135 64800 33 49528
136 4739 56 14715
137 0 0 0
138 22128 21 139
139 22128 22 140
140 22128 23 141
141 22128 24 142
142 22128 25 143
143 22128 26 144
144 22128 27 145
145 22128 28 146
146 22128 29 147
147 22128 30 12532
148 52291 18 21135
149 43059 15 150
150 43059 16 151
151 43059 17 152
152 43059 18 153
153 43059 19 154
154 43059 20 155
155 43059 21 156
156 43059 22 157
157 43059 23 158
158 43059 24 159
159 43059 25 160
160 43059 26 161
161 43059 27 17450
162 1748 1 163
163 1748 2 164
164 1748 3 165
165 1748 4 166
166 1748 5 167
167 1748 6 168
168 1748 7 169
169 1748 8 170
170 1748 9 171
171 1748 10 172
172 1748 11 173
173 1748 12 174
174 1748 13 175
175 1748 14 176
176 1748 15 177
177 1748 16 178
178 1748 17 179
179 1748 18 180
180 1748 19 181
181 1748 20 182
182 1748 21 183
183 1748 22 184
184 1748 23 185
185 1748 24 186
186 1748 25 187
187 1748 26 188
188 1748 27 189
189 1748 28 190
190 1748 29 191
191 1748 30 192
192 1748 31 193
193 1748 32 194
194 1748 33 195
195 1748 34 196
196 1748 35 197
197 1748 36 198
198 1748 37 199
199 1748 38 200
200 1748 39 201
201 1748 40 202
202 1748 41 203
203 1748 42 204
204 1748 43 205
205 1748 44 206
206 1748 45 207
207 1748 46 208
208 1748 47 209
209 1748 48 210
210 1748 49 211
211 1748 50 212
212 1748 51 213
213 1748 52 214
214 1748 53 215
215 1748 54 216
216 1748 55 217
217 1748 56 218
218 1748 57 219
219 1748 58 220
220 1748 59 221
221 1748 60 222
222 1748 61 223
223 1748 62 224
224 1748 63 225
225 1748 64 226
226 1748 65 227
227 1748 66 228
228 1748 67 229
229 1748 68 230
230 1748 69 1
231 36790 19 2565
232 39579 43 233
233 39579 44 29279
234 16571 32 29108
235 0 0 0
236 53364 43 31644
237 0 0 0
238 53276 16 43916
239 0 0 0
240 16571 6 8678
241 58338 5 10679
242 34380 52 46367
243 9910 51 9667
244 25842 8 245
245 25842 9 2263
246 14541 16 39567
247 4538 14 248
248 4538 15 249
249 4538 16 250
250 4538 17 251
251 4538 18 252
252 4538 19 253
253 4538 20 254
254 4538 21 255
255 4538 22 256
256 4538 23 257
257 4538 24 258
258 4538 25 259
259 4538 26 260
260 4538 27 261
261 4538 28 262
262 4538 29 263
263 4538 30 264
264 4538 31 265
265 4538 32 266
266 4538 33 267
267 4538 34 268
268 4538 35 269
269 4538 36 270
270 4538 37 271
271 4538 38 272
272 4538 39 273
273 4538 40 274
274 4538 41 275
275 4538 42 276
276 4538 43 277
277 4538 44 278
278 4538 45 279
279 4538 46 10749
280 29386 3 34256
281 51329 47 282
282 51329 48 283
283 51329 49 39814
284 48071 56 13079
285 34404 65 19534
286 60051 53 287
287 60051 54 45359
288 7184 41 29690
289 51467 41 290
290 51467 42 41268
291 59258 52 10208
292 37921 63 10179
293 48210 51 2760
294 60672 20 43620
295 16979 21 761
296 45415 8 25855
297 0 0 0
298 7354 42 5169
299 61990 70 39027
300 27465 7 301
301 27465 8 3394
302 4174 37 32714
303 35780 76 49382
304 31692 8 32303
305 11611 68 12879
306 61018 26 21566
307 56801 2 44213
308 46814 4 35427
309 34484 68 5812
310 183 6 12974
311 0 0 0
312 847 34 313
313 847 35 314
314 847 36 315
315 847 37 316
316 847 38 317
317 847 39 318
318 847 40 319
319 847 41 320
320 847 42 321
321 847 43 322
322 847 44 323
323 847 45 324
324 847 46 325
325 847 47 326
326 847 48 41725
327 32093 62 19180
328 50915 58 16435
329 16578 7 15739
330 4174 74 22113
331 6044 12 42943
332 14181 55 23697
333 36629 76 1791
334 20626 76 48920
335 0 0 0
336 64800 17 17850
337 16190 68 20699
338 14971 45 39554
339 0 0 0
340 4023 5 11072
341 59130 13 42484
342 3067 13 29676
343 54788 14 344
344 54788 15 345
345 54788 16 49107
346 25393 25 26105
347 43635 71 9073
348 63523 11 20206
349 50422 33 22798
350 7354 69 38441
351 12800 58 352
352 12800 59 353
353 12800 60 354
354 12800 61 355
355 12800 62 356
356 12800 63 357
357 12800 64 358
358 12800 65 359
359 12800 66 360
360 12800 67 1
361 41364 41 49987
362 3313 1 363
363 3313 2 364
364 3313 3 365
365 3313 4 38012
366 49224 19 16324
367 29693 52 26468
368 22982 21 369
369 22982 22 39096
370 27968 14 15838
371 29295 37 46756
372 33210 9 24449
373 0 0 0
374 19702 60 1219
375 0 0 0
376 62155 60 26969
377 60891 3 40884
378 64158 8 379
379 64158 9 47871
380 53276 15 238
381 3413 15 42095
382 17556 30 35079
383 52385 53 384
384 52385 54 385
385 52385 55 24058
386 32116 25 38727
387 42579 37 37829
388 30225 17 389
389 30225 18 390
390 30225 19 391
391 30225 20 392
392 30225 21 393
393 30225 22 394
394 30225 23 42158
395 34484 80 39398
396 28971 22 397
397 28971 23 398
398 28971 24 399
399 28971 25 26236
400 63523 20 26396
401 52853 62 17070
402 16885 34 19082
403 2871 3 9674
404 15961 30 34907
405 3413 48 9456
406 60672 23 37171
407 15135 39 408
408 15135 40 409
409 15135 41 410
410 15135 42 12368
411 8436 56 18154
412 21755 34 10554
413 39453 11 35379
414 53347 45 3695
415 35218 16 46909
416 13033 25 47505
417 65324 9 418
418 65324 10 419
419 65324 11 420
420 65324 12 421
421 65324 13 32012
422 49224 8 28274
423 19798 34 46714
424 61018 7 6046
425 20830 23 48119
426 15531 37 19421
427 0 0 0
428 29443 41 11770
429 0 0 0
430 40599 15 23084
431 20830 35 12991
432 11739 20 1
433 37988 52 11021
434 35958 2 34371
435 0 0 0
436 14181 23 3789
437 0 0 0
438 27968 53 2114
439 37436 6 40823
440 32116 9 29396
441 14173 5 3865
442 11608 38 23890
443 0 0 0
444 37157 74 42540
445 7347 19 21759
446 39579 41 447
447 39579 42 232
448 46471 71 15190
449 36629 50 35505
450 52640 39 31488
451 11219 47 18953
452 61079 15 453
453 61079 16 454
454 61079 17 455
455 61079 18 456
456 61079 19 457
457 61079 20 44286
458 62989 17 23002
459 0 0 0
460 7354 92 4289
461 37436 66 27965
462 48948 5 11253
463 43917 46 24745
464 52856 18 465
465 52856 19 29493
466 62377 6 9297
467 64158 54 468
468 64158 55 10209
469 53041 13 25116
470 37727 19 47953
471 4228 15 41255
472 23959 16 44145
473 0 0 0
474 1466 43 47649
475 0 0 0
476 3841 1 477
477 3841 2 478
478 3841 3 479
479 3841 4 480
480 3841 5 481
481 3841 6 482
482 3841 7 483
483 3841 8 484
484 3841 9 485
485 3841 10 486
486 3841 11 487
487 3841 12 488
488 3841 13 489
489 3841 14 490
490 3841 15 48450
491 10482 40 20818
492 28621 25 8640
493 61056 46 494
494 61056 47 495
495 61056 48 496
496 61056 49 497
497 61056 50 33748
498 14971 52 38479
499 16190 70 45455
500 2103 26 43631
501 34739 78 1
502 7616 34 5792
503 0 0 0
504 29420 3 49458
505 0 0 0
506 51923 8 507
507 51923 9 508
508 51923 10 509
509 51923 11 510
510 51923 12 511
511 51923 13 512
512 51923 14 513
513 51923 15 514
514 51923 16 16964
515 12628 6 10848
516 50422 73 34390
517 52978 39 42011
518 34643 1 22760
519 40599 32 28706
520 999 38 29656
521 0 0 0
522 41364 77 2778
523 0 0 0
524 9910 11 28094
525 50915 60 33415
526 64383 28 41674
527 52104 16 36864
528 4131 2 5610
529 36629 79 1
530 24034 14 531
531 24034 15 25051
532 21098 21 23608
533 0 0 0
534 47573 50 30401
535 22223 11 31261
536 19877 5 37447
537 52640 30 31011
538 25393 16 3997
539 37557 95 24983
540 22409 63 1498
541 0 0 0
542 57907 33 37595
543 34739 56 1223
544 4132 43 33518
545 22223 38 8155
546 20626 11 13292
547 58647 14 13816
548 52270 10 549
549 52270 11 550
550 52270 12 551
551 52270 13 552
552 52270 14 5600
553 31692 62 8936
554 8444 58 39650
555 28621 16 15518
556 25441 21 17807
557 0 0 0
558 8436 59 26034
559 4944 22 32773
560 56801 13 43744
561 41364 53 1412
562 2182 63 16608
563 0 0 0
564 9442 45 11136
565 20830 37 17903
566 51349 8 28235
567 0 0 0
568 43662 31 34736
569 0 0 0
570 29420 5 22809
571 59253 4 16079
572 17871 45 23584
573 65003 7 33233
574 40625 5 796
575 34380 24 25133
576 14181 75 40110
577 14484 20 29066
578 53041 1 6314
579 64158 24 12391
580 38269 1 581
581 38269 2 2740
582 4131 27 7258
583 39453 15 48929
584 39288 19 30
585 24547 33 1310
586 32614 53 587
587 32614 54 20444
588 55905 49 589
589 55905 50 590
590 55905 51 591
591 55905 52 592
592 55905 53 593
593 55905 54 594
594 55905 55 595
595 55905 56 596
596 55905 57 597
597 55905 58 598
598 55905 59 599
599 55905 60 600
600 55905 61 601
601 55905 62 602
602 55905 63 603
603 55905 64 604
604 55905 65 605
605 55905 66 606
606 55905 67 1
607 39453 41 35795
608 30698 45 42699
609 1466 56 12072
610 20632 28 47327
611 12978 48 28940
612 14541 57 9916
613 11306 3 14014
614 1466 66 30148
615 0 0 0
616 57907 41 43751
617 11774 29 1
618 21838 5 619
619 21838 6 25118
620 47573 20 35118
621 64158 12 40811
622 19877 64 28276
623 60133 47 33542
624 25057 48 28941
625 53364 71 34287
626 32332 13 45800
627 42643 57 9637
628 55153 24 30768
629 398 66 18
630 18697 43 23817
631 33428 16 6140
632 33942 19 633
633 33942 20 22153
634 2182 73 36744
635 576 1 636
636 576 2 637
637 576 3 18531
638 35414 44 18543
639 0 0 0
640 2182 71 45456
641 50422 52 1861
642 51022 6 26383
643 39903 56 3904
644 46483 37 645
